"Kimlik","Tür","Stok kodu (SKU)","İsim","Yayımlanmış","Öne çıkan?","Katalogda görünürlük","Kısa açıklama","Açıklama","İndirimli fiyatın başladığı tarih","İndirimli fiyatın bittiği tarih","Vergi durumu","Vergi sınıfı","Stokta?","Stok","Düşük stok miktarı","Yok satmaya izin?","Ayrı ayrı mı satılıyor?","Ağırlık (kg)","Uzunluk (cm)","Genişlik (cm)","Yükseklik (cm)","Müşteri yorumlarına izin?","Satın alma notu","İndirimli satış fiyatı","Normal fiyat","Kategoriler","Etiketler","Gönderim sınıfı","Görseller","İndirme sınırı","İndirme sona erme günü","Ebeveyn","Gruplanmış ürünler","Yukarı satışlar","Çapraz satışlar","Harici URL","Düğme metni","Konum","İndirme 1 ismi","İndirme 1 URL'si","Nitelik 1 ismi","Nitelik 1 değer(ler)i","Nitelik 1 görünür","Nitelik 1 genel","Nitelik 1 varsayılan","Nitelik 2 ismi","Nitelik 2 değer(ler)i","Nitelik 2 görünür","Nitelik 2 genel","Nitelik 2 varsayılan"
21,"variable","T-SHIRT-SHIP-YOUR-IDEA","Fikrini Gönder",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,1,,,,"Giyim, Giyim > Tişört",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_4_front.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_3_back.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_3_front.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_4_back.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_4_front1.jpg",,,,,"HOODIE-SHIP-YOUR-IDEA",,,,0,,,"Color","Black, Green",0,1,,,,,,
22,"variable","HOODIE-SHIP-YOUR-IDEA","Fikrini Gönder",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,1,,,,"Giyim, Giyim > Kapüşonlular",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_7_front.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_7_back.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_1_back.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_1_front.jpg",,,,,,"T-SHIRT-SHIP-YOUR-IDEA",,,0,,,"Color","Black, Blue",0,1,"Black","Size","L, XL",1,0,"L"
23,"simple","T-SHIRT-NINJA-SILHOUETTE","Ninja Silueti",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,1,,20,20,"Giyim, Giyim > Tişört",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_5_front.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_5_back.jpg",,,,,"HOODIE-NINJA-SILHOUETTE","T-SHIRT-WOO-NINJA, T-SHIRT-HAPPY-NINJA",,,0,,,,,,,,,,,,
24,"simple","T-SHIRT-HAPPY-NINJA","Mutlu Ninja",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,1,,18,18,"Giyim, Giyim > Tişört",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_7_front.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_7_back.jpg",,,,,"HOODIE-HAPPY-NINJA","T-SHIRT-WOO-NINJA, T-SHIRT-NINJA-SILHOUETTE",,,0,,,,,,,,,,,,
25,"simple","HOODIE-HAPPY-NINJA","Mutlu Ninja",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,1,,35,35,"Giyim, Giyim > Kapüşonlular",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_4_front.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_4_back.jpg",,,,,,"T-SHIRT-HAPPY-NINJA",,,0,,,,,,,,,,,,
26,"external","HOODIE-NINJA-SILHOUETTE","Ninja Silueti",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,0,,30,30,"Giyim, Giyim > Kapüşonlular",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_5_front.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_5_back.jpg",,,,,,"T-SHIRT-NINJA-SILHOUETTE","https://mercantile.wordpress.org/product/wordpress-logo-black-zip-hoodie/","Buy on WordPress Swag Store",0,,,,,,,,,,,,
31,"grouped","WOO-SINGLES","Woo Tekliler",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,1,,,,"Müzik, Müzik > Singles",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/cd_6_flat.jpg",,,,"WOO-SINGLE-1, WOO-SINGLE-2","WOO-ALBUM-1, WOO-ALBUM-2","WOO-ALBUM-3",,,0,,,,,,,,,,,,
34,"simple, virtual","WOO-ALBUM-4","Woo Albüm # 4",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,1,,9,9,"Müzik > Albümler, Müzik",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/cd_5_angle.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/cd_5_flat.jpg",,,,,,,,,0,,,,,,,,,,,,
43,"simple","POSTER-WOO-LOGO","Woo Logosu",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,1,,15,15,"Posterler",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/poster_5_up.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/Poster_5_flat.jpg",,,,,,"T-SHIRT-WOO-LOGO, HOODIE-WOO-LOGO",,,0,,,,,,,,,,,,
46,"simple","POSTER-WOO-NINJA","Woo Ninja",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,1,,15,15,"Posterler",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/poster_4_up.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/Poster_4_flat.jpg",,,,,,"T-SHIRT-WOO-NINJA, HOODIE-WOO-NINJA",,,0,,,,,,,,,,,,
49,"simple","POSTER-PREMIUM-QUALITY","Üstün kaliteli",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,1,,12,15,"Posterler",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/poster_3_up.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/Poster_3_flat.jpg",,,,,"T-SHIRT-PREMIUM-QUALITY",,,,0,,,,,,,,,,,,
52,"simple","POSTER-FLYING-NINJA","Uçan Ninja",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,1,,12,15,"Posterler",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/poster_2_up.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/Poster_2_flat.jpg",,,,,,,,,0,,,,,,,,,,,,
55,"simple","POSTER-SHIP-YOUR-IDEA","Fikrini Gönder",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,1,,15,15,"Posterler",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/poster_1_up.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/Poster_1_flat.jpg",,,,,"T-SHIRT-SHIP-YOUR-IDEA, HOODIE-SHIP-YOUR-IDEA","T-SHIRT-SHIP-YOUR-IDEA, HOODIE-SHIP-YOUR-IDEA",,,0,,,,,,,,,,,,
64,"simple","HOODIE-PATIENT-NINJA","Hasta Ninja",1,0,"visible","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.","Gül filmini mi gitti mıknatıslı okuma sayfası yapacakmış cezbelendi gitti patlıcan koştum batarya kutusu lakin adanaya çünkü cezbelendi. Ötekinden dolayı mutlu oldular şafak bundan dolayı kalemi tv. Tv duyulmamış ötekinden dolayı ötekinden dolayı şafak çakıl. Sıradanlıktan sinema lambadaki türemiş sıfat domates. Işık dağılımı gül ona doğru un değirmeni masaya doğru gidecekmiş orta camisi öyle ki gidecekmiş batarya kutusu adresini şafak. Ekşili çorba cezbelendi telefonu ona doğru adresini çünkü.",,,"taxable",,1,,,0,0,,,,,1,,35,35,"Giyim, Giyim > Kapüşonlular",,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_3_front.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_3_back.jpg",,,,,,"HOODIE-HAPPY-NINJA",,,0,,,,,,,,,,,,
71,"variation","HOODIE-SHIP-YOUR-IDEA-BLUE-XL","Fikrini Gönder - Mavi, XL",1,0,"visible",,,,,"taxable",,1,,,0,0,,,,,0,,30,35,,,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_1_front.jpg",,,"HOODIE-SHIP-YOUR-IDEA",,,"T-SHIRT-SHIP-YOUR-IDEA",,,0,,,"Color","Blue",,1,,"Size","XL",,0,
72,"variation","HOODIE-SHIP-YOUR-IDEA-BLACK-L","Fikrini Gönder - Siyah, L",1,0,"visible",,,,,"taxable",,1,,,0,0,,,,,0,,35,35,,,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_7_front.jpg",,,"HOODIE-SHIP-YOUR-IDEA",,,"T-SHIRT-SHIP-YOUR-IDEA",,,0,,,"Color","Black",,1,,"Size","L",,0,
84,"variation","T-SHIRT-SHIP-YOUR-IDEA-GREEN","Fikrini Gönder - Yeşil",1,0,"visible",,,,,"taxable",,1,,,0,0,,,,,0,,20,20,,,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_3_front.jpg",,,"T-SHIRT-SHIP-YOUR-IDEA",,,,,,0,,,"Color","Green",,1,,,,,,
85,"variation","T-SHIRT-SHIP-YOUR-IDEA-BLACK","Fikrini Gönder - Siyah",1,0,"visible",,,,,"taxable",,1,,,0,0,,,,,0,,20,20,,,,"https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_4_front1.jpg",,,"T-SHIRT-SHIP-YOUR-IDEA",,,,,,0,,,"Color","Black",,1,,,,,,
"Hello World","T-SHIRT-PREMIUM-QUALITY","�st�n kaliteli","1","0","visible","G�l filmini mi gitti"
"Hello World","T-SHIRT-PREMIUM-QUALITY","�st�n kaliteli","1","0","visible","G�l filmini mi gitti"
